English,Chinese,Russian
Send and receive donations with ease,轻松的发送和接收捐款,Принимай донаты с легкостью
"If you're a streamer, use safe and secure blockchain to receive donations","如果你是一个视频创造者,请使用安全的区块链来接收捐款","Если ты стример, используй безопасный блокчейн для получения донатов"
Show me how,如何操作,Приступить
Why is it better?,我们的优势,Чем лучше других?
Enter your wallet address,输入你的钱包地址,Введите ваш Минтер кошелек
Format: Mx524d5f91b40ad6d1197e15221767e7e6e37fb464,格式：Mx524d5f91b40ad6d1197e15221767e7e6e37fb464,Формат: Mx524d5f91b40ad6d1197e15221767e7e6e37fb464
create wallet,创建钱包,Создать кошелек
instruction,教程,Инструкция
pick up the alert,选择提醒图标,Выберите алерт
Generate link,生成链接,Сгенерируйте ссылку
Then paste it into OBS or your SOFTWARE,将其粘贴到你的OBS或者软件,затем вставьте ее в OBS или другой софт
Generate,生成链接,Сгенерируйте ссылку
Copy link to clipboard,复制链接到剪切板,Скопируйте ссылку в буфер
Copy Link,复制链接,Копировать
"The generated link will appear here, which you will need to insert",生成的链接会显示在这里，你需要在此处插入,"Ссылка, которую нужно вставить в ваш софт, появиться здесь"
examples,示例,Примеры
Advantages of blockchain donations,区块链捐款的优势,Преимущества блокчейна
All transactions processed with a safe and secure Minter blockchain.,所有交易均将在安全的Minter区块链上进行,Блокчейн Минтер выполняет безопасный процессинг всех транзакций
Withdrawal without barriers,无障碍取款,Вывод средств без лишних барьеров
"No limits for withdrawals, your money is your money",无取款限制，你的钱就是你的钱,"Отсутствуют лимиты на вывод средств, ваши деньги - это ваши деньги"
Transaction fee less than $0.001,交易费低至$0.001,Стоимость транзакции менее $0.001
Near-to-impossible low transaction fees,无法想象如此低的交易费,Невероятно низкие комиссии
Very fast transaction speed,非常块的交易速度,Очень быстрая скорость перевода
5 sec. to send or receive a donation,发送和接收捐款只需5秒,"Всего 5 сек. для того, чтобы отправить или принять донат"
Exchange with ease,轻松交易,Обмен с легкостью
"Your coins can be easily exchanged to Bitcoin, Ethereum or Tether",你可以很容易的将代币与BTC、ETH和USDT交易,"Монеты могут быть легко обменяны вами на Биткоин, Эфириум или Тезер"
Exchange your coins here,在这里交易,Обменять монеты прямо сейчас
What is Minter blockchain?,Minter区块链是什么,Что такое Минтер блокчейн?
"Minter is a blockchain network that lets people, projects, and companies create and manage their own coins and exchange them at a fair price with absolute and instant liquidity. Find more info on their official website",Minter是一个区块链网络，他可以帮助人们创建和管理自己的代币，并以公平的价格进行交易。更多信息请参见Minter官方网站：,"Минтер - это блокчейн нового поколения, с мгновенными транзакциями, возможностью создавать криптовалюты с алгоритмической стоимостью и моментальным, неограниченным обменом. Узнайте больше на официальном сайте"
Designed with by Mother Minter,Designed with love by Mother Minter,Designed with love by Mother Minter